Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805",23.626000,-0.240000,270.000000,top
"C2","100n","C_0805",16.510000,0.000000,0.000000,top
"C3","1n","C_0805",17.780000,4.318000,90.000000,top
"C4","1n","C_0805",13.208000,4.572000,270.000000,top
"C5","1n","C_0805",10.922000,-2.032000,180.000000,top
"C6","1n","C_0805",29.972000,3.556000,180.000000,top
"C7","1n","C_0805",34.798000,0.508000,180.000000,top
"C8","100n","C_0805",24.778000,-3.302000,180.000000,top
"C9","480u","Tantalum_Case-D_EIA-7343-31_Reflow",33.528000,-3.302000,180.000000,top
"C10","480u","Tantalum_Case-D_EIA-7343-31_Reflow",33.528000,-8.382000,180.000000,top
"D1","OF-SMD2012HR","D_0805",10.410000,-8.650000,270.000000,top
"D2","OF-SMD2012HR","D_0805",12.442000,-8.650000,90.000000,top
"D3","OF-SMD2012HR","D_0805",14.474000,-8.650000,270.000000,top
"D4","OF-SMD2012HR","D_0805",16.506000,-8.650000,90.000000,top
"D5","OF-SMD2012HR","D_0805",18.538000,-8.650000,270.000000,top
"D6","OF-SMD2012HR","D_0805",20.570000,-8.650000,90.000000,top
"D7","1N5711","SOD-123",10.922000,4.064000,270.000000,top
"D8","1N5711","SOD-123",17.526000,11.684000,90.000000,top
"D9","1N5711","SOD-123",15.494000,4.064000,270.000000,top
"D10","1N5711","SOD-123",36.830000,4.826000,90.000000,top
"IC1","ATTINY13A-SSH","SOIC-8_3.9x4.9mm_Pitch1.27mm",17.780000,-3.824000,0.000000,top
"R1","680R","R_0805",8.128000,-4.826000,270.000000,top
"R2","680R","R_0805",10.922000,-5.334000,180.000000,top
"R3","680R","R_0805",23.114000,-8.382000,180.000000,top
"R4","1k","R_0805",19.558000,0.762000,90.000000,top
"R5","150k","R_0805",8.382000,3.556000,270.000000,top
"R6","10k","R_0805",10.922000,0.000000,0.000000,top
"R7","51R","R_1206",21.082000,3.810000,0.000000,top
"R8","10k","R_0805",26.924000,-9.906000,0.000000,top
"R9","51R","R_1206",25.654000,8.382000,180.000000,top
"R10","51R","R_1206",21.082000,8.890000,0.000000,top
"R11","150k","R_0805",33.782000,3.302000,270.000000,top
"R12","10k","R_0805",31.242000,0.508000,180.000000,top
"R13","51R","R_1206",25.654000,3.302000,180.000000,top
"R14","51R","R_1206",31.750000,7.620000,90.000000,top
"R15","51R","R_1206",31.750000,12.192000,270.000000,top
"R16","51R","R_1206",25.654000,10.922000,0.000000,top
"R17","51R","R_1206",21.082000,6.350000,180.000000,top
"R18","51R","R_1206",21.082000,11.430000,180.000000,top
"R19","51R","R_1206",25.654000,5.842000,0.000000,top
"R20","51R","R_1206",29.210000,7.620000,270.000000,top
"R21","51R","R_1206",29.210000,12.192000,90.000000,top
"U1","HT7125-1","SOT-23-5",26.674000,-0.240000,180.000000,top
